GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
feature-flag-manager,com.featureflag.repository,ApiTokenRepository,43,0,0,0,4,0,4,0,4,0
feature-flag-manager,com.featureflag.repository,FeatureFlagRepository,28,0,0,0,3,0,3,0,3,0
feature-flag-manager,com.featureflag.repository,ApplicationRepository,14,0,0,0,2,0,2,0,2,0
feature-flag-manager,com.featureflag.resource,AdminTokenResource,43,0,2,0,8,0,6,0,5,0
feature-flag-manager,com.featureflag.resource,AdminApplicationResource,36,0,0,0,8,0,6,0,6,0
feature-flag-manager,com.featureflag.resource,AdminAuthResource,8,0,0,0,2,0,2,0,2,0
feature-flag-manager,com.featureflag.resource,SpaResource,55,0,12,0,13,0,9,0,3,0
feature-flag-manager,com.featureflag.resource,AdminFeatureFlagResource,41,0,0,0,8,0,6,0,6,0
feature-flag-manager,com.featureflag.resource,ConsumerFeatureResource,26,0,0,0,5,0,3,0,3,0
feature-flag-manager,com.featureflag.mapper,DtoMapper,0,83,0,0,0,5,0,5,0,5
feature-flag-manager,com.featureflag.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
feature-flag-manager,com.featureflag.exception,GlobalExceptionMapper,93,0,8,0,23,0,6,0,2,0
feature-flag-manager,com.featureflag.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
feature-flag-manager,com.featureflag.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
feature-flag-manager,com.featureflag.service,TokenService,63,191,9,9,11,46,12,13,4,12
feature-flag-manager,com.featureflag.service,ApplicationService,19,67,1,3,5,16,4,6,3,5
feature-flag-manager,com.featureflag.service,AdminAuthService,0,47,1,3,0,11,1,3,0,2
feature-flag-manager,com.featureflag.service,FeatureFlagService,51,109,2,4,11,28,7,9,5,8
feature-flag-manager,com.featureflag.dto,ConsumerFeatureFlagDto,0,12,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,GenerateTokenRequest,6,0,0,0,1,0,1,0,1,0
feature-flag-manager,com.featureflag.dto,ApiTokenMetadataDto,0,27,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,UpdateApplicationRequest,0,6,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,CreateApplicationRequest,0,9,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,FeatureFlagDto,0,24,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,LoginResponse,0,9,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,CreateFeatureFlagRequest,0,12,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,ErrorResponse,18,0,0,0,3,0,2,0,2,0
feature-flag-manager,com.featureflag.dto,ApplicationDto,0,18,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,UpdateFeatureFlagRequest,0,9,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,ApiTokenCreatedDto,0,30,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
feature-flag-manager,com.featureflag.security,ConsumerAuthFilter,36,0,0,0,11,0,2,0,2,0
feature-flag-manager,com.featureflag.security,TokenCrypto,9,118,2,10,3,21,2,9,0,5
feature-flag-manager,com.featureflag.security,AuthenticatedApplication,3,18,0,0,1,7,1,3,1,3
feature-flag-manager,com.featureflag.domain,Application,19,3,2,0,8,1,3,1,2,1
feature-flag-manager,com.featureflag.domain,FeatureFlag,19,3,2,0,8,1,3,1,2,1
feature-flag-manager,com.featureflag.domain,ApiTokenStatus,0,15,0,0,0,3,0,1,0,1
feature-flag-manager,com.featureflag.domain,ApiToken,10,3,2,0,4,1,2,1,1,1
feature-flag-manager,com.featureflag,FeatureFlagApplication,6,0,0,0,3,0,2,0,2,0
